DEBUG    | 2023-04-19 13:05:03,773 | Yasat.main_cli | Analyzing examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/sbin/parser completed in 0 seconds
DEBUG    | 2023-04-19 13:05:03,784 | Yasat.main_cli | Analyzing examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/sbin/rc completed in 0 seconds
DEBUG    | 2023-04-19 13:05:03,809 | Yasat.main_cli | Analyzing examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/sbin/acos_service completed in 0 seconds
DEBUG    | 2023-04-19 13:05:03,827 | Yasat.main_cli | Analyzing examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/bin/chkntfs completed in 0 seconds
DEBUG    | 2023-04-19 13:05:03,876 | Yasat.main_cli | Analyzing examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/lib/libnsl.so.0 completed in 0 seconds
DEBUG    | 2023-04-19 13:05:03,877 | Yasat.main_cli | Analyzing examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/bin/eapd completed in 0 seconds
DEBUG    | 2023-04-19 13:05:03,905 | Yasat.main_cli | Analyzing examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/bin/wps_monitor completed in 0 seconds
DEBUG    | 2023-04-19 13:05:03,919 | Yasat.main_cli | Analyzing examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/bin/utelnetd completed in 0 seconds
DEBUG    | 2023-04-19 13:05:03,935 | Yasat.main_cli | Analyzing examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/lib/ld-uClibc.so.0 completed in 0 seconds
DEBUG    | 2023-04-19 13:05:03,937 | Yasat.main_cli | Analyzing examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/lib/libresolv.so.0 completed in 0 seconds
DEBUG    | 2023-04-19 13:05:04,017 | Yasat.main_cli | Analyzing examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/lib/libvolume_id.so.0.78.0 completed in 0 seconds
