INFO     | 2023-04-19 16:34:59,949 | Yasat.main_cli | [60/581 (33 success, 27 failure)] Extracted 73 ELF files from dataset/Netgear/WNR854T_V1.5.2NA.zip
INFO     | 2023-04-19 16:34:59,949 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/JWNR2000v3_JWNR2010v3_JWNR2000Tv3-v1.0.0.32.zip.cache is available!!!
INFO     | 2023-04-19 16:34:59,949 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/XAV5004_FW_upgrade_v2.0.0.4.zip.cache is available!!!
INFO     | 2023-04-19 16:34:59,949 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/WPN802v2 Firmware Version 1.0.6.0 (North America).zip.cache is available!!!
INFO     | 2023-04-19 16:34:59,949 | Yasat.main_cli | [61/581 (34 success, 27 failure)] Extracted 116 ELF files from dataset/Netgear/N300-V1.1.0.54_1.0.1.zip
INFO     | 2023-04-19 16:34:59,949 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/GS108PEv3_V2.06.16EN.zip.cache is available!!!
INFO     | 2023-04-19 16:34:59,949 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/WAX214_firmware_V2.0.1.3.zip.cache is available!!!
INFO     | 2023-04-19 16:34:59,950 | Yasat.main_cli | [62/581 (35 success, 27 failure)] Extracted 370 ELF files from dataset/Netgear/R8300-V1.0.2.154_1.0.102.zip
INFO     | 2023-04-19 16:34:59,950 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/fvx538_v3.1.1-08.zip.cache is available!!!
INFO     | 2023-04-19 16:34:59,950 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/PTV3000_V2.4.19.zip.cache is available!!!
INFO     | 2023-04-19 16:34:59,950 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/D8500_V1.0.3.60_1.0.1.zip.cache is available!!!
INFO     | 2023-04-19 16:34:59,950 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/R8000P-V1.4.4.94_1.3.56.zip.cache is available!!!
INFO     | 2023-04-19 16:34:59,950 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/EX3700_EX3800-V1.0.0.90_1.0.59.zip.cache is available!!!
INFO     | 2023-04-19 16:34:59,950 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/DGN2000_V1.3.16.0.zip.cache is available!!!
INFO     | 2023-04-19 16:34:59,950 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/GS105PE_V1.6.0.10.zip.cache is available!!!
INFO     | 2023-04-19 16:34:59,951 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/XAVN2001-V0.4.0.7.zip.cache is available!!!
INFO     | 2023-04-19 16:34:59,951 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/GS724TPv2_GS724TPP_V2.0.6.3.zip.cache is available!!!
