WARNING  | 2023-04-21 18:05:21,740 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/PLA6457_001.214-01-01410.zip
WARNING  | 2023-04-21 18:05:21,755 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/ES-2024PWR_3.90(AII.0)C0.zip
WARNING  | 2023-04-21 18:05:21,771 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/LTE7490-M904_V1.00(ABQY.3)C0.zip
WARNING  | 2023-04-21 18:05:21,854 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/LIC-Astra_1.zip
WARNING  | 2023-04-21 18:05:21,922 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/GS1100-24_007.214-01-00249.zip
WARNING  | 2023-04-21 18:05:21,971 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/ES-108S_1.zip
WARNING  | 2023-04-21 18:05:22,010 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/GS1350-6HP_004.214-01-01128.zip
WARNING  | 2023-04-21 18:05:22,026 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/WX3100-T0_5.50(ABVL.0)C0.zip
WARNING  | 2023-04-21 18:05:22,044 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/ES1100-16_008.214-01-00006.zip
WARNING  | 2023-04-21 18:05:22,061 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/NWD6602_1.0.0.20.0826Linux_2.zip
WARNING  | 2023-04-21 18:05:22,086 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/XS3800-28_4.zip
WARNING  | 2023-04-21 18:05:22,099 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/XS1930-12F_4.70(ABZV.5)C0.zip
WARNING  | 2023-04-21 18:05:22,121 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/WRE6605_003.214-01-00790.zip
WARNING  | 2023-04-21 18:05:22,140 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/LTE4506-M606_001.351-01-00633.zip
WARNING  | 2023-04-21 18:05:22,151 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/XGS1930-52_4.70(ABHU.4)C0.zip
WARNING  | 2023-04-21 18:05:22,165 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/VPN100_1.zip
WARNING  | 2023-04-21 18:05:22,184 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/LTE3301-M209_001.351-01-01182.zip
WARNING  | 2023-04-21 18:05:22,210 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/NSG100_004.214-01-00661.zip
WARNING  | 2023-04-21 18:05:22,225 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/GS1300-26HP_003.214-01-01124.zip
WARNING  | 2023-04-21 18:05:22,240 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/GS1300-10HP_1.zip
WARNING  | 2023-04-21 18:05:22,250 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/USG310_1.zip
WARNING  | 2023-04-21 18:05:22,263 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/GS1300-18HP_1.zip
WARNING  | 2023-04-21 18:05:22,284 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/GS2220-28HP_9.zip
WARNING  | 2023-04-21 18:05:22,296 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/EX3301-T0_5.50(ABVY.3.1)C0.zip
WARNING  | 2023-04-21 18:05:22,312 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/WAX650S_002.214-01-01174.zip
WARNING  | 2023-04-21 18:05:22,330 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/GS1900-48_4.zip
WARNING  | 2023-04-21 18:05:22,342 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/USG2200_1.zip
WARNING  | 2023-04-21 18:05:22,357 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/NR7101_001.351-03-00511.zip
